,DK1-offshore,DK1-offshore,DK1-offshore,DK1-offshore,DK1-onshore,DK1-onshore,DK1-onshore,DK1-onshore,DK2-offshore,DK2-offshore,DK2-offshore,DK2-offshore,DK2-onshore,DK2-onshore,DK2-onshore,DK2-onshore
,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
2024-07-03 10:00:00,322.16621342098824,514.1917857124868,538.9271404572405,608.1255991817981,994.0731854559399,1461.1698626892921,1668.0459452986702,1848.1775857840871,14.805276133817188,410.1572344030601,541.2597039627676,661.8564396683814,107.89192294479153,209.7258779706558,259.123294622495,305.6382044028933
2024-07-03 11:00:00,277.2128887352101,446.41599830765927,468.376699828091,551.5045719616078,796.4394106120467,1286.771208495145,1452.6483305454453,1618.5074570031406,-60.957444361042235,302.28042559863206,428.6013096022434,586.2499823361213,100.26531014465354,188.91803840394232,236.9294146784764,282.6790634353274
2024-07-03 12:00:00,248.08212526681473,407.6745686278314,432.7633491322131,521.3727802540358,640.0432176457525,1113.6096298364846,1275.6236127408729,1434.5044531823378,-48.155300853608765,240.78897841316666,342.5904050108916,537.9862046390799,91.94273629028112,169.1537302826423,211.57799002628735,249.8920335419275
2024-07-03 13:00:00,221.78121703132547,399.32033595352186,434.46880054960616,523.6537894152858,533.7244072955115,983.6756304340558,1121.1707547497579,1284.1741871465483,8.17170296745212,216.9819796009151,292.82944356386906,533.357026753155,85.85238708397901,154.34690918835122,189.18968290453768,224.41563966490412
2024-07-03 14:00:00,207.95210680694072,387.53395117340233,416.0782703220673,514.7969086369335,456.8767486260392,910.942768503932,1025.9850000963377,1200.5481354668145,32.23913752020644,207.48295139974653,272.6774757580538,555.8250873472389,86.8353464937577,144.55713828963962,181.29242733645424,213.24048774998664
2024-07-03 15:00:00,208.98797118265247,364.69425077047663,403.51487942460767,495.40812377898465,375.5015659086409,816.7810759760542,922.7978439125849,1114.6566203609104,41.701138903809465,202.19140147816506,263.65714984361966,543.7167430093596,90.48521259939889,147.07074394125743,180.77940154063526,213.2055915089063
2024-07-03 16:00:00,211.58742665922364,344.2526988242339,386.1342209073978,456.8074724285518,278.92225462436295,677.3393721362105,766.9911985786164,980.2927589829869,48.56260013090207,193.37252491167146,249.65659867793374,514.3291836058679,91.26762565261288,143.03005093847878,172.39497703091,208.22973176109372
2024-07-03 17:00:00,208.66194391787667,335.4235480134289,376.3422893613822,449.6287536221941,208.4078981862782,561.0403356127154,641.2939296007823,877.9942291730626,48.9899522638226,180.75206354454212,229.04368200483532,483.5160040075507,103.06148244093038,138.15427334646256,169.84590957477258,207.18157912608604
2024-07-03 18:00:00,239.06492761511254,323.8035507046998,357.00516751371083,441.5856076170656,157.1818176650067,453.62669066751846,524.0317062764885,775.1257526211984,28.767991535692317,173.86523873049964,233.33674459634085,480.40287251404425,99.0052257770817,129.49452144018392,159.58528383550038,197.4032908845511
